@RELATION bitcoin 

@ATTRIBUTE time  real 
@ATTRIBUTE  JPYs  real 
@ATTRIBUTE  JPYb  real 
@ATTRIBUTE  USDs  real 
@ATTRIBUTE  USDb real 
@ATTRIBUTE  ISKs  real
@ATTRIBUTE  SGDs  real
@ATTRIBUTE  SGDb  real
@ATTRIBUTE  CNYs  real
@ATTRIBUTE  CNYb  real
@ATTRIBUTE  RUBs  real 
@ATTRIBUTE  RUBb real 
@ATTRIBUTE  CADs  real 
@ATTRIBUTE CADb  real 
@ATTRIBUTE AUDs real 
@ATTRIBUTE AUDb real 

@data
1445556535,32878.37,32986.17,274.5,275.4,34490.93,382.14,383.4,1743.51,1749.23,17243.1,17299.64,359.79,360.97,380.67,381.92
1445557440,32899.93,32944.25,274.68,275.05,34513.54,382.39,382.91,1744.65,1747,17254.41,17277.65,360.03,360.52,380.92,381.43
1445558345,32860.41,32953.83,274.35,275.13,34472.08,381.94,383.02,1742.56,1747.51,17233.68,17282.68,359.6,360.62,380.46,381.54
1445559249,32913.11,33001.74,274.79,275.53,34527.36,382.55,383.58,1745.35,1750.05,17261.32,17307.81,360.17,361.14,381.07,382.1
1445560152,32891.55,32996.95,274.61,275.49,34504.75,382.3,383.52,1744.21,1749.8,17250.01,17305.29,359.94,361.09,380.82,382.04
1445561055,33007.73,33053.25,275.58,275.96,34626.63,383.65,384.18,1750.37,1752.78,17310.95,17334.82,361.21,361.71,382.17,382.69
1445561961,33010.13,33053.25,275.6,275.96,34629.14,383.68,384.18,1750.5,1752.78,17312.2,17334.82,361.24,361.71,382.19,382.69
1445562864,32950.24,32974.2,275.1,275.3,34566.32,382.98,383.26,1747.32,1748.59,17280.79,17293.36,360.58,360.84,381.5,381.78
1445563767,32951.44,33024.5,275.11,275.72,34567.57,382.99,383.84,1747.39,1751.26,17281.42,17319.74,360.59,361.39,381.51,382.36
1445564670,32999.35,33036.48,275.51,275.82,34617.83,383.55,383.98,1749.93,1751.9,17306.55,17326.02,361.12,361.52,382.07,382.5
1445565573,33026.9,33056.84,275.74,275.99,34646.73,383.87,384.22,1751.39,1752.97,17321,17336.7,361.42,361.75,382.39,382.73
1445566475,32963.42,32996.95,275.21,275.49,34580.14,383.13,383.52,1748.02,1749.8,17287.7,17305.29,360.73,361.09,381.65,382.04
1445567378,32971.8,32993.36,275.28,275.46,34588.93,383.23,383.48,1748.47,1749.61,17292.1,17303.41,360.82,361.05,381.75,382
1445568281,32990.96,32994.56,275.44,275.47,34609.04,383.45,383.49,1749.48,1749.67,17302.15,17304.04,361.03,361.07,381.97,382.01
1445569185,32964.61,32999.35,275.22,275.51,34581.39,383.15,383.55,1748.08,1749.93,17288.33,17306.55,360.74,361.12,381.67,382.07
1445570088,33010.13,33040.07,275.6,275.85,34629.14,383.68,384.02,1750.5,1752.09,17312.2,17327.91,361.24,361.56,382.19,382.54
1445570991,33007.73,33019.71,275.58,275.68,34626.63,383.65,383.79,1750.37,1751.01,17310.95,17317.23,361.21,361.34,382.17,382.3
1445571894,32969.4,32989.77,275.26,275.43,34586.42,383.2,383.44,1748.34,1749.42,17290.85,17301.52,360.79,361.01,381.72,381.96
1445572798,32928.68,32968.21,274.92,275.25,34543.7,382.73,383.19,1746.18,1748.27,17269.49,17290.22,360.35,360.78,381.25,381.71
1445573701,33006.53,33022.11,275.57,275.7,34625.37,383.63,383.81,1750.31,1751.13,17310.32,17318.48,361.2,361.37,382.15,382.33
1445574604,33014.92,33034.08,275.64,275.8,34634.17,383.73,383.95,1750.75,1751.77,17314.72,17324.77,361.29,361.5,382.25,382.47
1445575507,33048.46,33076,275.92,276.15,34669.35,384.12,384.44,1752.53,1753.99,17332.3,17346.75,361.66,361.96,382.64,382.96
